business_name,telephone,email,category,website,street,locality,region,zipcode
Mike Anthony Forensic Polygraph and Consulting Services LLC,(313) 400-2124,manthonypolygraph@att.net,Lie Detection Service,http://www.mikeanthonypolygraph.com,PO Box 36641,Grosse Pointe,MI,48236
Tony V's Tavern,(313) 833-5595,,"Pizza,Bars,American Restaurants",http://www.tonyvstavern.com,5756 Cass Ave,Detroit,MI,48202
Tony V's Tavern,(313) 833-5595,,"Pizza,Bars,American Restaurants",http://www.tonyvstavern.com,5756 Cass Ave,Detroit,MI,48202
Industrial Sewing and Innovation Center,(313) 870-1898,information@isaic.org,Sewing Contractors,https://www.isaic.org,5800 Cass Ave,Detroit,MI,48202
New Mt Moriah Baptist Church,(313) 869-0190,,"Baptist Churches,Churches & Places of Worship",http://newmtmoriahbaptistchurch.com,13100 Woodward Ave,Highland Park,MI,48203
New Mt Moriah Baptist Church,(313) 869-0190,,"Baptist Churches,Churches & Places of Worship",http://newmtmoriahbaptistchurch.com,13100 Woodward Ave,Highland Park,MI,48203
Jep Homes,(313) 307-7861,,Home Builders,,16207 Wyoming St,Detroit,MI,48221
Jep Homes,(313) 307-7861,,Home Builders,,16207 Wyoming St,Detroit,MI,48221
John Perrin PC,(586) 477-0061,,"General Practice Attorneys,Attorneys,Criminal Law Attorneys",http://www.theperrinlawfirm.com,319 Northbound Gratiot Ave,Mount Clemens,MI,48043
"Thomas, Dawn",(248) 593-3175,,Physical Therapists,,261 Mack Ave,Detroit,MI,48201
London Luggage Shop,(313) 831-7200,,Shopping Centers & Malls,http://www.londonluggage.com,5955 Woodward Ave,Detroit,MI,48202
Woodward Fuel & More,(313) 869-8889,,"Gas Stations,Convenience Stores,Car Wash",http://www.marathon.com,15903 Woodward Ave,Highland Park,MI,48203
Subway,(313) 577-5783,,"Fast Food Restaurants,Sandwich Shops,Restaurants",https://restaurants.subway.com/united-states/mi/detroit/655-west-kirby?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=60291&utm_campaign=evergreen-2020&y_source=1_MTQ5MDEzMTktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,655 W Kirby St,Detroit,MI,48202
Detroit Police Department Precinct 3,(313) 596-5300,,"Police Departments,Government Offices,Law Enforcement Agencies-Government",http://www.detroitmi.gov/Police,2875 W Grand Blvd,Detroit,MI,48202
Greenfield Noodle,(313) 873-2212,,Business Brokers,,600 Custer St,Detroit,MI,48202
Greenfield Noodle,(313) 873-2212,,Business Brokers,,600 Custer St,Detroit,MI,48202
Shebley Group,(312) 945-8811,QueShebley_logo_ShebCroc_inner_WEB_110x@2x.jpg,Custom Made Men's Suits,https://shopqbyqs.com,6001 Cass Ave # 124,Detroit,MI,48202
Matthews Endeavors,(313) 791-7321,,Auto Transmission,,7238 W Fort St,Detroit,MI,48209
Records Storage Delivery And Service,(313) 875-5446,,"Business Documents & Records-Storage & Management,Trucking,Movers & Full Service Storage",http://commercialmovingdeliverystorage.com,6045 John C Lodge Fwy,Detroit,MI,48202
Culturesource,(313) 831-1151,example@example.com,,http://www.culturesource.org,3434 Russell St,Detroit,MI,48207
Jonna Construction,(313) 800-5414,,"General Contractors,Building Construction Consultants,Building Contractors",https://www.jonnaconstruction.com,6200 2nd Ave,Detroit,MI,48202
Jonna Construction,(313) 800-5414,,"General Contractors,Building Construction Consultants,Building Contractors",https://www.jonnaconstruction.com,6200 2nd Ave,Detroit,MI,48202
Detroit Power Systems,(313) 871-8000,,"Electricians,Electric Contractors-Commercial & Industrial",,622 W Baltimore St,Detroit,MI,48202
Detroit Power Systems,(313) 871-8000,,"Electricians,Electric Contractors-Commercial & Industrial",,622 W Baltimore St,Detroit,MI,48202
"Jevitas Anthony, DPH",(313) 961-3200,,Social Workers,,2051 W Grand Blvd,Detroit,MI,48208
James Martin Chevrolet,(313) 875-0500,flags@2x.png,"Automobile Parts & Supplies,Used Car Dealers,Auto Repair & Service",http://www.jamesmartindetroit.com?cs:pro=yext,6250 Woodward Ave,Detroit,MI,48202
Brophy Engraving,(313) 871-2333,google-play-badge-60@2x-lr.png,"Graphic Designers,Printing Services",http://www.angieslist.com/companylist/us/mi/detroit/brophy-engraving-co-reviews-2619845.htm,626 Harper Ave,Detroit,MI,48202
Michigan Paper Die Inc,(313) 873-0404,,Printing Services,https://www.michiganpaperdie.com,632 Harper Ave,Detroit,MI,48202
Phantom Entertainment Group,(248) 817-8800,,"Clubs,Bars,Party & Event Planners",,25240 Lahser Rd,Southfield,MI,48033
The Mason Jar,(313) 651-9740,,,,4088 W Mcnichols Rd,Detroit,MI,48221
Elbow Lounge Inc,(313) 469-0208,,"Cocktail Lounges,Bar & Grills,Bars",,7310 Mack Ave,Detroit,MI,48214
Elbow Lounge Inc,(313) 469-0208,,"Cocktail Lounges,Bar & Grills,Bars",,7310 Mack Ave,Detroit,MI,48214
Anew Life Prosthetics & Orthotics,(313) 870-9610,,"Prosthetic Devices,Orthopedic Appliances,Medical Equipment & Supplies",http://www.anewlifepando.com,6438 Woodward Ave,Detroit,MI,48202
Anew Life Prosthetics & Orthotics,(313) 870-9610,,"Prosthetic Devices,Orthopedic Appliances,Medical Equipment & Supplies",http://www.anewlifepando.com,6438 Woodward Ave,Detroit,MI,48202
Cooking With Que,(313) 462-4184,info@cookingwithque.com,Caterers,https://cookingwithque.com,6529 Woodward Ave,Detroit,MI,48202
Cooking With Que,(313) 462-4184,info@cookingwithque.com,Caterers,https://cookingwithque.com,6529 Woodward Ave,Detroit,MI,48202
Detroit Nipple Works,(313) 872-6370,,Cutting & Slitting Service,http://www.detroitnippleworks.com,6530 Beaubien St,Detroit,MI,48202
Detroit Nipple Works,(313) 872-6370,,Cutting & Slitting Service,http://www.detroitnippleworks.com,6530 Beaubien St,Detroit,MI,48202
10 And 2 Driving Academy,(734) 718-7672,10and2academy@gmail.com,Driving Instruction,http://www.10and2academy.com,28345 Beck Rd Suite 212,Wixom,MI,48393
Clutch & Throttle,(313) 656-4325,harley-davidson-repair-detroit-mi_600x600@2x.JPG,Clutches,https://clutchandthrottle.co,6544 Beaubien St,Detroit,MI,48202
Affordable Signs,(313) 521-3272,Info@AffordableSigns.com,"Signs,Advertising Agencies,Advertising Specialties",http://affordablesigns.com,14900 Alma St,Detroit,MI,48205
Brite Ideas Tattoo Studio,(734) 485-8288,,Tattoos,https://briteideatattoo.wordpress.com,30 N Huron St,Ypsilanti,MI,48197
Legacy Home Care,(248) 559-9001,,Home Health Services,,17070 W 12 Mile Rd,Southfield,MI,48076
"Northern Lights Painting, Inc .",(248) 210-7009,,Painting Contractors,,,,,
Village of Mid Town II,(248) 614-4565,,Government Offices,,3250 Camden Dr,Troy,MI,48084
Wasabi Korean and Japanese Cuisine,(313) 638-1272,,"Japanese Restaurants,Korean Restaurants,Sushi Bars",http://wasabidetroit.com,15 E Kirby St,Detroit,MI,48202
Cuisine,(313) 872-5110,,"American Restaurants,Italian Restaurants,Restaurants",http://www.cuisinerestaurant.com,670 Lothrop Rd,Detroit,MI,48202
Bresser's Cross Index Directory Company,(313) 874-0570,,Publishers-Directory & Guide,,684 W Baltimore St,Detroit,MI,48202
A Center For Family Dentistry - Keith Kelley D.D.S.,(248) 918-0355,,"Dentists,Periodontists,Oral & Maxillofacial Surgery",http://drkeithkelley.com,1913 South Blvd W,Troy,MI,48098
Albert's Furniture & Appliance Center III,(586) 779-5777,,Furniture Stores,http://www.albertsfurnitureinc.com,22522 Gratiot Ave,Eastpointe,MI,48021
Mays Place,(313) 469-5079,,"Real Estate Management,Real Estate Consultants",,6440 Vinewood St,Detroit,MI,48208
Lynch Michael J,(248) 465-1044,,,,26026 Island Lake Dr,Novi,MI,48374
Edge Core Financial Group Inc,(313) 846-3343,,Financial Planning Consultants,,6556 Greenfield Rd,Dearborn,MI,48126
Edge Core Financial Group Inc,(313) 846-3343,,Financial Planning Consultants,,6556 Greenfield Rd,Dearborn,MI,48126
Affinion Loyality Group,(313) 656-2141,,Business Management,,100 Renaissance Ctr,Detroit,MI,48243
Reed Smith LLP,(213) 457-8000,,"Litigation & Tort Attorneys,Attorneys,General Practice Attorneys",https://www.reedsmith.com/en/offices,355 S Grand Ave Ste 2900,Los Angeles,CA,90071
Andrew Reed & Associates Inc,(248) 547-4350,,"Real Estate Appraisers-Commercial & Industrial,Real Estate Appraisers",http://att.net,2770 Coolidge Hwy,Berkley,MI,48072
Detroit Public Theatre,(313) 576-5111,info@detroitpublictheatre.org,Theatres,http://www.detroitpublictheatre.org,3711 Woodward Avenue,Detroit,MI,48201
Pristine Painting Inc,(410) 534-4725,,"Wallpapers & Wallcoverings-Installation,Painting Contractors,Painting Contractors-Commercial & Industrial",,617 S Chapel St,Baltimore,MD,21231
Detroit Public Theatre,(313) 576-5111,info@detroitpublictheatre.org,Theatres,http://www.detroitpublictheatre.org,3711 Woodward Avenue,Detroit,MI,48201
Road to Success Agency,(313) 427-4161,,,,3200 Greenfield Rd,Dearborn,MI,48120
"Moore, Valerie L, DO",(240) 441-5652,,Physicians & Surgeons,,3031 W Grand Blvd,Detroit,MI,48202
"Moore, Valerie L, DO",(240) 441-5652,,Physicians & Surgeons,,3031 W Grand Blvd,Detroit,MI,48202
Road to Success Agency,(313) 427-4161,,,,3200 Greenfield Rd,Dearborn,MI,48120
New Beginning Assisted Living,(313) 870-9801,robert@broofa.com,"Assisted Living Facilities,Residential Care Facilities",http://news.google.com,509 Chandler St,Detroit,MI,48202
New Beginning Assisted Living,(313) 870-9801,robert@broofa.com,"Assisted Living Facilities,Residential Care Facilities",http://news.google.com,509 Chandler St,Detroit,MI,48202
Detroit Parent Network,(313) 832-0617,,"Marriage, Family, Child & Individual Counselors,Counseling Services,Social Service Organizations",http://www.detroitparentnetwork.org,726 Lothrop Rd,Detroit,MI,48202
Detroit Parent Network,(313) 832-0617,,"Marriage, Family, Child & Individual Counselors,Counseling Services,Social Service Organizations",http://www.detroitparentnetwork.org,726 Lothrop Rd,Detroit,MI,48202
Smiley's Quick Lube & Auto Repair,(248) 355-2232,,Auto Oil & Lube,,27364 W 8 Mile Rd,Southfield,MI,48033
Packard Group,(313) 872-7826,,"Counseling Services,Adult Day Care Centers",,731 Pallister St,Detroit,MI,48202
"Mosley-William, Kimberly T",(626) 472-6000,,,,13001 Ramona Blvd,Baldwin Park,CA,91706
"A Better Tomorrow Counseling & Consultation Services, LLC",(313) 255-2650,mail@abtccs.com,"Counselors-Licensed Professional,Counseling Services,Career & Vocational Counseling",http://www.abtccs.com,25245 5 Mile Rd Ste 500,Redford,MI,48239
"A Better Tomorrow Counseling & Consultation Services, LLC",(313) 255-2650,mail@abtccs.com,"Counselors-Licensed Professional,Counseling Services,Career & Vocational Counseling",http://www.abtccs.com,25245 5 Mile Rd Ste 500,Redford,MI,48239
"Bantom Global Industries, Inc",(313) 493-0184,,Energy Conservation Products & Services,,19001 Glendale,Redford,MI,48239
"LGC Global, Inc",(313) 989-4141,,"General Contractors,Building Specialties,Professional Engineers",http://lgccorp.com,7310 Woodward Ave,Detroit,MI,48202
"LGC Global, Inc",(313) 989-4141,,"General Contractors,Building Specialties,Professional Engineers",http://lgccorp.com,7310 Woodward Ave,Detroit,MI,48202
"U.S. Energy Resources, LLC",(248) 723-6844,,"Fuel Oils,Petroleum Oils,Oils-Used & Waste",http://www.usenergyresources.net,20300 Mount Elliott St,Detroit,MI,48234
"Bantom Global Industries, Inc",(313) 493-0184,,Energy Conservation Products & Services,,19001 Glendale,Redford,MI,48239
Barat Child And Family Services - CLOSED,,,,,5250 John R St,Detroit,MI,48202
On Star Corp,(313) 568-8400,mex_icon_roll@1x.svg,Global Positioning Equipment & Systems,http://onstar.com,400 Renaissance Ctr,Detroit,MI,48243
Woodward Woodworks Alan Young Furnituremaker,(734) 218-5803,alan@woodwardwoodworks.com,Woodworking,http://woodwardwoodworks.com,114 Woodward St,Ypsilanti,MI,48197
The Green Company,(313) 769-3183,,"Janitorial Service,Industrial Cleaning,House Cleaning",http://www.thegreencompanyinc.com,7310 Woodward Ave Ste 740,Detroit,MI,48202
Neighborhood Legal Services,(313) 874-5820,johnsmith@example.com,"Legal Service Plans,Attorneys,General Practice Attorneys",http://www.nlsmichigan.org,7310 Woodward Ave,Detroit,MI,48202
E C Dittrich And Company Inc,(313) 873-8313,,,,825 Lothrop Rd,Detroit,MI,48202
E C Dittrich And Company Inc,(313) 873-8313,,,,825 Lothrop Rd,Detroit,MI,48202
New Center Liquor Party Shoppe,(313) 875-7523,,Liquor Stores,,7400 Woodward Ave,Detroit,MI,48202
MyDetroitDentist.Com / Harden Family Dentistry,(313) 871-1999,,Dentists,http://www.mydetroitdentist.com,7411 John R St,Detroit,MI,48202
MyDetroitDentist.Com / Harden Family Dentistry,(313) 871-1999,,Dentists,http://www.mydetroitdentist.com,7411 John R St,Detroit,MI,48202
Shon's Corner,(248) 223-1560,,Security Guard & Patrol Service,,25140 Lahser Rd,Southfield,MI,48033
Moon Inc New China,(734) 513-7331,,,,34710 N Livonia Cres,Livonia,MI,48154
Parks Old Style Bar-B-Que,(313) 873-7444,,"Delivery Service,Chicken Restaurants,Caterers",http://www.parksoldstylebar-b-q.com,7444 Beaubien St,Detroit,MI,48202
Lyles 16 Flavors,(248) 340-0252,,"Ice Cream & Frozen Desserts,Dessert Restaurants",,760 E Walton Blvd,Pontiac,MI,48340
Eks Services International,(313) 963-1433,info@eksservices.com,Environmental & Ecological Consultants,http://www.eksservices.com,7451 3rd St,Detroit,MI,48202
Resendes Design Group,(313) 873-3280,14370afcdc17429f9e418d5ffbd0334a@sentry.wixpress.com,Architects,http://www.resendesgroup.com,7451 3rd St,Detroit,MI,48202
Sierra Medical Group PLC,(313) 870-1560,,"Physicians & Surgeons,Physicians & Surgeons, Psychiatry,Physicians & Surgeons, Surgery-General",http://sierramedicalgroup.com,7522 John R St,Detroit,MI,48202
W-3 Construction,(313) 875-8000,,"General Contractors,Construction Estimates,Home Builders",http://www.w3group.net,7601 2nd Ave,Detroit,MI,48202
Onyx Enterprise Inc,(313) 409-9870,tbuckles@onyx-enterprise.com,,http://onyx-enterprise.com,7650 2nd Ave,Detroit,MI,48202
Onyx Enterprise Inc,(313) 409-9870,tbuckles@onyx-enterprise.com,,http://onyx-enterprise.com,7650 2nd Ave,Detroit,MI,48202
Administrative Recruiting Specialists,(248) 681-2772,,Armed Forces Recruiting,,1664 Beechcroft St,Keego Harbor,MI,48320
Coleman A Young Foundation,(313) 962-2200,info@cayf.org,"Foundations-Educational, Philanthropic, Research",http://www.cayf.org,7650 2nd Ave Ste 206,Detroit,MI,48202
Coleman A Young Foundation,(313) 962-2200,info@cayf.org,"Foundations-Educational, Philanthropic, Research",http://www.cayf.org,7650 2nd Ave Ste 206,Detroit,MI,48202
Black United Fund Of Michigan Inc,(313) 894-2200,bufofmichigan@gmail.com,Charities,http://www.bufmi.org,2187 W Grand Blvd,Detroit,MI,48208
Miller & Cohen Attorney at Law PLC,(313) 383-2422,,Attorneys,https://www.millercohen.com,6715 Park Ave,Detroit,MI,48201
North End Woodward Community Coalition,(313) 265-3069,,Arts Organizations & Information,https://mynewcc.org,7700 2nd Ave,Detroit,MI,48202
The Wellness Plan,(313) 202-8500,,Clinics,http://www.wellplan.com,7700 2nd Ave,Detroit,MI,48202
Vip Mentoring,(313) 638-1080,staff@vipmentoring.org,"Office Equipment & Supplies,Stationery Stores",https://www.vipmentoring.org,7700 2nd Ave,Detroit,MI,48202
Big Brothers Big Sisters,(313) 309-1600,Logo@2x.png,"Community Organizations,Human Services Organizations,Child Care",http://www.bbbs.org,7375 Woodward Ave,Detroit,MI,48202
Rhonda Walker Foundation,(313) 564-1420,info@rhondawalkerfoundation.org,,http://rhondawalkerfoundation.org,Po Box 251746,West Bloomfield,MI,48325
Ford Community & Performing Arts Center,(313) 943-2350,recservdesk@ci.dearborn.mi.us,"Community Centers,Art Galleries, Dealers & Consultants,Tennis Instruction",http://dearbornfordcenter.com,15801 Michigan Ave,Dearborn,MI,48126
Extended Sales Enterprise,(313) 580-1536,,"Business Coaches & Consultants,Speakers, Lectures & Seminars",http://www.extendedsalesenterprise.com,7701 Woodward Ave,Detroit,MI,48202
"Moore-Baldwin, Donyelle, MD",(313) 966-9521,,"Physicians & Surgeons,Physicians & Surgeons, Family Medicine & General Practice,Physicians & Surgeons, Surgery-General",https://dmcmedicalgroup.com/providers/donyelle-moore-baldwin-md,6001 W Outer Dr Ste 205,Detroit,MI,48235
Metropolitan United Methodist Church,(313) 875-7407,,"Methodist Churches,Churches & Places of Worship",http://metroumc.org,8000 Woodward Ave,Detroit,MI,48202
Walker-Miller Energy Service,(313) 366-8535,,"Electric Companies,Utility Companies",http://www.wmenergy.com,2990 W Grand Blvd Ste 310,Detroit,MI,48202
Walker-Miller Energy Service,(313) 366-8535,,"Electric Companies,Utility Companies",http://www.wmenergy.com,2990 W Grand Blvd Ste 310,Detroit,MI,48202
Pan African Orthodox Christian Church,(313) 875-9700,,"Churches & Places of Worship,Religious Organizations",https://www.shrinesoftheblackmadonna.org,8045 2nd Ave,Detroit,MI,48202
New Way Wireless and Repair - Fraser,(586) 265-3409,,"Cellular Telephone Service,Cellular Telephone Equipment & Supplies",http://www.newwaywirelessrepair.com,16894 15 Mile Rd,Fraser,MI,48026
New Center Super Market,(313) 875-6722,,"Grocery Stores,Liquor Stores",,8055 Woodward Ave,Detroit,MI,48202
Renee's Creative Interiors,(586) 677-4914,,Interior Designers & Decorators,,55903 Mound Rd,Shelby Township,MI,48316
Koussan Hamood PLC,(313) 784-9509,contact@kh-plc.com,,https://www.kh-plc.com,821 W Milwaukee St,Detroit,MI,48202
A Inc,(248) 391-9000,,Robotics,http://abb.com,1250 Brown Rd,Auburn Hills,MI,48326
The Turkey Grill,(313) 872-4624,,"Barbecue Grills & Supplies,Restaurants",http://www.theturkeygrill.com,8290 Woodward Ave,Detroit,MI,48202
Chami-Shamil Inc,(313) 873-3309,,,,8351 Woodward Ave,Detroit,MI,48202
Chami-Shamil Inc,(313) 873-3309,,,,8351 Woodward Ave,Detroit,MI,48202
Process Controls & Instrumentation,(313) 874-5877,info@pci-vetrix.com,"Cellular Telephone Service,Telecommunications Services",http://pci-vetrix.com,840 W Milwaukee St,Detroit,MI,48202
Process Controls & Instrumentation,(313) 874-5877,info@pci-vetrix.com,"Cellular Telephone Service,Telecommunications Services",http://pci-vetrix.com,840 W Milwaukee St,Detroit,MI,48202
Barclay Corporation,(313) 638-1149,,Real Estate Management,,845 W Milwaukee St,Detroit,MI,48202
Ocean Fish,(313) 893-7333,contact@myoceanfish.com,"Seafood Restaurants,Fish & Seafood Markets,Restaurants",https://myoceanfish.com,3732 E 8 Mile Rd,Detroit,MI,48234
People's Community Church,(313) 871-4676,,"Churches & Places of Worship,Community Churches,Religious Organizations",http://www.peoplescommunitychurchdetroit.org,8601 Woodward Ave,Detroit,MI,48202
Hill Consulting Silver,(313) 466-3260,,Business Coaches & Consultants,,81 Kercheval Ave,Grosse Pointe Farms,MI,48236
Active Learning Early Childhood Center,(248) 879-2802,,Child Care,,2601 E Square Lake Rd,Troy,MI,48085
Victor Ronald W,(313) 465-7580,,Attorneys,,660 Woodward Ave Ste 2290,Detroit,MI,48226
Secure Realty Investments,(248) 910-8826,alexandr.kazakov1@gmail.com,Real Estate Management,http://www.securerealtyllc.com,37739 Northfield Ct,Livonia,MI,48150
Little Rock Baptist Church,(313) 872-2900,14370afcdc17429f9e418d5ffbd0334a@sentry.wixpress.com,"Baptist Churches,Churches & Places of Worship",https://www.historiclittlerockbc.org,9000 Woodward Ave,Detroit,MI,48202
Aml Gas Inc,(313) 875-9431,,"Gas Companies,Gas Stations",,9101 Woodward Ave,Detroit,MI,48202
Bay At Woodward Health And Rehabilitation Center T,(313) 872-0890,info@Bay-Woodward.com,Rehabilitation Services,https://www.bay-woodward.com,9146 Woodward Ave,Detroit,MI,48202
Wolfbrown,(415) 796-3060,14370afcdc17429f9e418d5ffbd0334a@sentry.wixpress.com,,https://www.wolfbrown.com,918 W Boston Blvd,Detroit,MI,48202
Professional Property Holdings LLC,(313) 465-2165,,"Property Maintenance,Real Estate Referral & Information Service,Real Estate Management",,1659 Taylor St,Detroit,MI,48206
Byron's Flowers,(313) 868-2202,typesetit@att.net,Florists,http://byronsflowers.com,1144 Chicago Blvd,Detroit,MI,48202
Grace Harper Florist,(313) 831-1164,graceharperflorist@sbcglobal.net,Florists,http://www.graceharperflorist.com?y_source=1_mja4oti2mtitntuzlwxvy2f0aw9ulndlynnpdgu%3d,9300 Woodward Ave,Detroit,MI,48202
T E K Supply,(313) 867-7615,,"Financing Consultants,Financial Planning Consultants,Investments",http://www.teksystems.com,160 Chicago Blvd,Detroit,MI,48202
T E K Supply,(313) 867-7615,,"Financing Consultants,Financial Planning Consultants,Investments",http://www.teksystems.com,160 Chicago Blvd,Detroit,MI,48202
Kenwood Market,(313) 871-7600,,"Grocery Stores,Liquor Stores",,9400 Woodward Ave,Detroit,MI,48202
Greater Faith Assembly Outreach Ministry - CLOSED,,,,http://www.greaterfaithassembly.webs.com,1330 Crane St,Detroit,MI,48214
Blessed Sacrament Cathedral,(313) 865-6300,,"Churches & Places of Worship,Catholic Churches",http://www.manta.com/c/mml55rb/blessed-sacrament-cathedral,9844 Woodward Ave,Detroit,MI,48202
Detroit Public Schools - General Superintendent,(313) 873-7450,communications@detroitk12.org,Schools,http://detroitk12.org,3011 W Grand Blvd,Detroit,MI,48202
Transportation Riders United,(313) 963-8872,info@DetroitTransit.org,Community Organizations,http://www.detroittransit.org,500 Griswold St Ste 1650,Detroit,MI,48226
Gershonowicz Brothers,(855) 725-3628,,,https://rebuild.group,2921 E Grand Blvd,Detroit,MI,48202
Big Brothers Big Sisters,(313) 309-0500,Logo@2x.png,"Community Organizations,Social Service Organizations,Human Services Organizations",http://www.bbbs.org,7700 2nd Ave,Detroit,MI,48202
